comparison,control,treatment,fold,acc,balanced_accuracy,mcc,f1,sensitivity,specificity
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,0,-0.07692307692307687,0.06666666666666665,0.11547005383792514,0.045454545454545414,0.33333333333333337,-0.19999999999999996
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,1,0.0714285714285714,0.16666666666666669,0.42910898668306086,0.4,0.3333333333333333,0.0
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,2,-0.0714285714285714,0.0757575757575758,-0.09069949849324999,0.07142857142857151,0.3333333333333333,-0.18181818181818177
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,3,-0.07692307692307687,-0.04999999999999999,-0.0754358002400379,0.0,0.0,-0.09999999999999998
C0-real-step vs SD2.1-I2I-noCN-C1-matched,C0-real-step,SD2.1-I2I-noCN-C1-matched,4,-0.07692307692307687,-0.04999999999999993,-0.2545716462381969,-0.09999999999999998,0.0,-0.09999999999999998
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,0,0.0,0.1166666666666667,0.1895499047828158,0.09999999999999998,0.33333333333333337,-0.09999999999999998
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,1,0.0,0.0,0.0,0.0,0.0,0.0
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,2,-0.0714285714285714,0.0757575757575758,-0.09069949849324999,0.07142857142857151,0.3333333333333333,-0.18181818181818177
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,3,-0.07692307692307687,-0.04999999999999999,-0.0754358002400379,0.0,0.0,-0.09999999999999998
C0-real-step vs SDXL-I2I-noCN-C1-matched,C0-real-step,SDXL-I2I-noCN-C1-matched,4,-0.07692307692307687,-0.04999999999999993,-0.2545716462381969,-0.09999999999999998,0.0,-0.09999999999999998
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,0,0.07692307692307698,0.16666666666666663,0.2740653302556674,0.16666666666666663,0.33333333333333337,0.0
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,1,0.0,0.0,0.0,0.0,0.0,0.0
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,2,0.0,0.12121212121212122,0.04467257121378154,0.16666666666666663,0.3333333333333333,-0.09090909090909094
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,3,-0.07692307692307687,-0.04999999999999999,-0.0754358002400379,0.0,0.0,-0.09999999999999998
C0-real-step vs DataDream-I2I-noCN-C1-matched,C0-real-step,DataDream-I2I-noCN-C1-matched,4,-0.07692307692307687,-0.04999999999999993,-0.2545716462381969,-0.09999999999999998,0.0,-0.09999999999999998
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,0,-0.07692307692307687,-0.050000000000000044,-0.09216818012668976,-0.05555555555555558,0.0,-0.09999999999999998
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,1,0.0714285714285714,0.16666666666666669,0.42910898668306086,0.4,0.3333333333333333,0.0
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,2,-0.0714285714285714,0.0757575757575758,-0.09069949849324999,0.07142857142857151,0.3333333333333333,-0.18181818181818177
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,3,-0.07692307692307687,-0.04999999999999999,-0.0754358002400379,0.0,0.0,-0.09999999999999998
C0-real-step vs FoundHand-DataDream-I2I-noCN-C1-matched,C0-real-step,FoundHand-DataDream-I2I-noCN-C1-matched,4,0.0,0.1166666666666667,0.03962038997193673,0.16666666666666663,0.3333333333333333,-0.09999999999999998
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,0,0.0,0.0,0.0,0.0,0.0,0.0
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,1,0.0714285714285714,0.16666666666666669,0.42910898668306086,0.4,0.3333333333333333,0.0
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,2,0.0,0.0,0.0,0.0,0.0,0.0
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,3,0.0,0.0,0.0,0.0,0.0,0.0
DataDream C1-matched vs C2-soft,DataDream-I2I-noCN-C1-matched,DataDream-I2I-noCN-C2-soft,4,0.0,0.0,0.0,0.0,0.0,0.0
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,0,0.07692307692307687,0.16666666666666674,0.28171808490950556,0.15555555555555556,0.33333333333333337,0.0
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,1,0.0,0.0,0.0,0.0,0.0,0.0
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,2,0.0714285714285714,0.045454545454545414,0.13537206970703153,0.09523809523809512,0.0,0.09090909090909083
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,3,0.0,0.0,0.0,0.0,0.0,0.0
FoundHand-DataDream C1-matched vs C2-soft,FoundHand-DataDream-I2I-noCN-C1-matched,FoundHand-DataDream-I2I-noCN-C2-soft,4,-0.07692307692307687,-0.04999999999999993,-0.1406602330515374,-0.09523809523809512,0.0,-0.09999999999999998
